,ET,P,wy,sumP,D
2000-10-31,32.480000000000004,68.30000305175781,2001,68.30000305175781,0.0
2000-11-30,18.4,21.5939998626709,2001,89.89400291442871,0.0
2000-12-31,19.68,20.05900001525879,2001,109.9530029296875,0.0
2001-01-31,19.28,88.44200134277344,2001,198.39500427246094,0.0
2001-02-28,31.76,114.95999908447266,2001,313.3550033569336,0.0
2001-03-31,57.92,54.80500030517578,2001,368.1600036621094,3.1149996948242205
2001-04-30,52.72,58.52399826049805,2001,426.6840019226074,0.0
2001-05-31,70.48,0.0,2001,426.6840019226074,70.48
2001-06-30,48.24,1.902999997138977,2001,428.5870019197464,116.81700000286102
2001-07-31,33.84,0.0,2001,428.5870019197464,150.65700000286103
2001-08-31,32.32,0.0,2001,428.5870019197464,182.97700000286102
2001-09-30,25.6,1.1089999675750732,2001,429.6960018873215,207.46800003528594
2001-10-31,16.0,8.28600025177002,2002,8.28600025177002,215.18199978351592
2001-11-30,19.44,73.13500213623047,2002,81.42100238800049,161.48699764728545
2001-12-31,11.52,155.01300048828125,2002,236.43400287628174,17.99399715900421
2002-01-31,17.6,40.02899932861328,2002,276.463002204895,0.0
2002-02-28,36.72,42.965999603271484,2002,319.4290018081665,0.0
2002-03-31,53.2,73.31300354003906,2002,392.74200534820557,0.0
2002-04-30,50.08,15.54699993133545,2002,408.289005279541,34.53300006866455
2002-05-31,67.2,33.571998596191406,2002,441.8610038757324,68.16100147247315
2002-06-30,54.96,0.0,2002,441.8610038757324,123.12100147247315
2002-07-31,38.4,0.0,2002,441.8610038757324,161.52100147247316
2002-08-31,30.96,0.0,2002,441.8610038757324,192.48100147247317
2002-09-30,25.04,0.0,2002,441.8610038757324,217.52100147247316
2002-10-31,11.120000000000001,0.0,2003,0.0,228.64100147247316
2002-11-30,26.32,86.62000274658203,2003,86.62000274658203,168.34099872589113
2002-12-31,12.56,224.5449981689453,2003,311.16500091552734,0.0
2003-01-31,24.32,26.288999557495117,2003,337.45400047302246,0.0
2003-02-28,31.44,49.70500183105469,2003,387.15900230407715,0.0
2003-03-31,59.28,35.334999084472656,2003,422.4940013885498,23.945000915527345
2003-04-30,48.64,146.78799438476562,2003,569.2819957733154,0.0
2003-05-31,85.2,27.628999710083008,2003,596.9109954833984,57.571000289916995
2003-06-30,54.08,0.0,2003,596.9109954833984,111.651000289917
2003-07-31,48.64,0.0,2003,596.9109954833984,160.291000289917
2003-08-31,42.16,6.716000080108643,2003,603.6269955635071,195.73500020980836
2003-09-30,28.48,0.7889999747276306,2003,604.4159955382347,223.42600023508072
