,ET,P,wy,sumP,D
2000-10-31,54.0,194.2050018310547,2001,194.2050018310547,0.0
2000-11-30,22.08,117.8290023803711,2001,312.0340042114258,0.0
2000-12-31,25.92,110.42500305175781,2001,422.4590072631836,0.0
2001-01-31,30.400000000000002,221.37399291992188,2001,643.8330001831055,0.0
2001-02-28,35.04,371.50299072265625,2001,1015.3359909057617,0.0
2001-03-31,50.32,149.16299438476562,2001,1164.4989852905273,0.0
2001-04-30,44.400000000000006,75.9800033569336,2001,1240.478988647461,0.0
2001-05-31,88.32,13.348999977111816,2001,1253.8279886245728,74.97100002288818
2001-06-30,99.2,46.310001373291016,2001,1300.1379899978638,127.86099864959716
2001-07-31,87.6,0.012000000104308128,2001,1300.149989997968,215.44899864949286
2001-08-31,75.44,5.533999919891357,2001,1305.6839899178594,285.3549987296015
2001-09-30,72.96000000000001,2.9519999027252197,2001,1308.6359898205847,355.36299882687626
2001-10-31,47.28,67.90499877929688,2002,67.90499877929688,334.73800004757936
2001-11-30,33.68,512.25,2002,580.1549987792969,0.0
2001-12-31,26.64,646.8740234375,2002,1227.0290222167969,0.0
2002-01-31,26.16,453.1600036621094,2002,1680.1890258789062,0.0
2002-02-28,41.6,315.6919860839844,2002,1995.8810119628906,0.0
2002-03-31,55.68,162.02200317382812,2002,2157.9030151367188,0.0
2002-04-30,47.6,52.62099838256836,2002,2210.524013519287,0.0
2002-05-31,81.44,66.68499755859375,2002,2277.209011077881,14.755002441406248
2002-06-30,86.56,0.0,2002,2277.209011077881,101.31500244140625
2002-07-31,87.36,0.0,2002,2277.209011077881,188.67500244140626
2002-08-31,82.56,0.0,2002,2277.209011077881,271.23500244140627
2002-09-30,70.96000000000001,0.0,2002,2277.209011077881,342.19500244140625
2002-10-31,40.08,0.6549999713897705,2003,0.6549999713897705,381.62000247001646
2002-11-30,41.519999999999996,184.80099487304688,2003,185.45599484443665,238.33900759696957
2002-12-31,37.84,1318.821044921875,2003,1504.2770397663116,0.0
2003-01-31,28.4,442.9909973144531,2003,1947.2680370807648,0.0
2003-02-28,40.88,185.05299377441406,2003,2132.321030855179,0.0
2003-03-31,50.88,219.81399536132812,2003,2352.135026216507,0.0
2003-04-30,46.32,481.4580078125,2003,2833.593034029007,0.0
2003-05-31,71.6,41.159000396728516,2003,2874.7520344257355,30.44099960327148
2003-06-30,79.04,0.0,2003,2874.7520344257355,109.48099960327148
2003-07-31,85.84,0.328000009059906,2003,2875.0800344347954,194.9929995942116
2003-08-31,79.2,2.255000114440918,2003,2877.3350345492363,271.93799947977067
2003-09-30,67.68,5.63100004196167,2003,2882.966034591198,333.986999437809
2003-10-31,40.72,3.23799991607666,2004,3.23799991607666,371.46899952173237
2003-11-30,37.04,246.1020050048828,2004,249.34000492095947,162.40699451684955
2003-12-31,36.239999999999995,766.7030029296875,2004,1016.043007850647,0.0
2004-01-31,20.8,408.57501220703125,2004,1424.6180200576782,0.0
2004-02-29,40.400000000000006,591.3319702148438,2004,2015.949990272522,0.0
2004-03-31,57.2,109.0739974975586,2004,2125.0239877700806,0.0
2004-04-30,66.48,105.05599975585938,2004,2230.07998752594,0.0
2004-05-31,54.96,7.923999786376953,2004,2238.003987312317,47.03600021362305
2004-06-30,80.56,0.29499998688697815,2004,2238.298987299204,127.30100022673608
2004-07-31,78.56,0.0,2004,2238.298987299204,205.86100022673608
2004-08-31,73.28,0.0,2004,2238.298987299204,279.1410002267361
2004-09-30,70.16,8.053000450134277,2004,2246.351987749338,341.2479997766018
2004-10-31,48.24,221.4669952392578,2005,221.4669952392578,168.02100453734397
2004-11-30,23.52,50.492000579833984,2005,271.9589958190918,141.04900395751
2004-12-31,31.840000000000003,406.7969970703125,2005,678.7559928894043,0.0
2005-01-31,34.32,347.59698486328125,2005,1026.3529777526855,0.0
2005-02-28,38.08,146.95899963378906,2005,1173.3119773864746,0.0
2005-03-31,59.92,358.4440002441406,2005,1531.7559776306152,0.0
2005-04-30,51.84,95.60299682617188,2005,1627.358974456787,0.0
2005-05-31,82.56,311.0610046386719,2005,1938.419979095459,0.0
2005-06-30,90.48,110.12899780273438,2005,2048.5489768981934,0.0
2005-07-31,94.56,2.492000102996826,2005,2051.04097700119,92.06799989700318
2005-08-31,78.16,0.0,2005,2051.04097700119,170.22799989700317
2005-09-30,70.24,0.29499998688697815,2005,2051.335976988077,240.17299991011618
2005-10-31,46.0,89.3499984741211,2006,89.3499984741211,196.82300143599508
2005-11-30,42.56,367.67999267578125,2006,457.02999114990234,0.0
2005-12-31,39.92,1057.2159423828125,2006,1514.2459335327148,0.0
2006-01-31,35.04,631.9970092773438,2006,2146.2429428100586,0.0
2006-02-28,54.64,267.4639892578125,2006,2413.706932067871,0.0
2006-03-31,54.96,575.9580078125,2006,2989.664939880371,0.0
2006-04-30,53.120000000000005,301.3269958496094,2006,3290.9919357299805,0.0
2006-05-31,84.96000000000001,63.12200164794922,2006,3354.1139373779297,21.83799835205079
2006-06-30,88.64,4.066999912261963,2006,3358.1809372901917,106.41099843978883
2006-07-31,104.24000000000001,0.0,2006,3358.1809372901917,210.65099843978885
2006-08-31,89.92,0.0,2006,3358.1809372901917,300.57099843978887
2006-09-30,73.6,0.0,2006,3358.1809372901917,374.17099843978883
2006-10-31,44.08,11.46399974822998,2007,11.46399974822998,406.78699869155884
2006-11-30,41.36,347.65399169921875,2007,359.11799144744873,100.4930069923401
2006-12-31,33.76,515.2030029296875,2007,874.3209943771362,0.0
2007-01-31,35.84,99.9729995727539,2007,974.2939939498901,0.0
2007-02-28,39.84,514.2689819335938,2007,1488.562975883484,0.0
2007-03-31,59.84,78.37999725341797,2007,1566.9429731369019,0.0
2007-04-30,53.60000000000001,89.89800262451172,2007,1656.8409757614136,0.0
2007-05-31,90.08,49.57500076293945,2007,1706.415976524353,40.504999237060545
2007-06-30,88.56,2.3369998931884766,2007,1708.7529764175415,126.72799934387207
2007-07-31,101.92,4.304999828338623,2007,1713.0579762458801,224.34299951553345
2007-08-31,91.03999999999999,0.0,2007,1713.0579762458801,315.38299951553347
2007-09-30,76.08,3.421999931335449,2007,1716.4799761772156,388.040999584198
2007-10-31,43.68000000000001,177.14999389648438,2008,177.14999389648438,254.57100568771364
2007-11-30,41.28,58.67499923706055,2008,235.82499313354492,237.1760064506531
2007-12-31,22.88,460.1029968261719,2008,695.9279899597168,0.0
2008-01-31,33.120000000000005,613.3670043945312,2008,1309.294994354248,0.0
2008-02-29,44.56,342.8139953613281,2008,1652.1089897155762,0.0
2008-03-31,52.72,45.78200149536133,2008,1697.8909912109375,6.937998504638671
2008-04-30,67.6,101.46099853515625,2008,1799.3519897460938,0.0
2008-05-31,64.4,5.374000072479248,2008,1804.725989818573,59.02599992752076
2008-06-30,90.64,0.0,2008,1804.725989818573,149.66599992752077
2008-07-31,99.04,0.0,2008,1804.725989818573,248.7059999275208
2008-08-31,95.44,0.0,2008,1804.725989818573,344.1459999275208
2008-09-30,77.03999999999999,4.138000011444092,2008,1808.863989830017,417.0479999160767
2008-10-31,52.64,120.79000091552734,2009,120.79000091552734,348.89799900054936
2008-11-30,29.84,147.75900268554688,2009,268.5490036010742,230.9789963150025
2008-12-31,23.36,305.1159973144531,2009,573.6650009155273,0.0
2009-01-31,31.28,76.03600311279297,2009,649.7010040283203,0.0
2009-02-28,36.88,549.1920166015625,2009,1198.8930206298828,0.0
2009-03-31,44.8,280.7099914550781,2009,1479.603012084961,0.0
2009-04-30,50.0,39.154998779296875,2009,1518.7580108642578,10.845001220703125
2009-05-31,81.2,204.05599975585938,2009,1722.8140106201172,0.0
2009-06-30,88.24000000000001,3.318000078201294,2009,1726.1320106983185,84.92199992179872
2009-07-31,98.8,0.0,2009,1726.1320106983185,183.72199992179873
2009-08-31,91.12,0.5550000071525574,2009,1726.687010705471,274.2869999146462
2009-09-30,79.67999999999999,12.541999816894531,2009,1739.2290105223656,341.42500009775165
2009-10-31,40.72,163.8939971923828,2010,163.8939971923828,218.25100290536884
2009-11-30,35.84,171.03599548339844,2010,334.92999267578125,83.0550074219704
2009-12-31,21.68,299.06201171875,2010,633.9920043945312,0.0
2010-01-31,22.96,789.8720092773438,2010,1423.864013671875,0.0
2010-02-28,32.64,383.61700439453125,2010,1807.4810180664062,0.0
2010-03-31,45.92,273.05499267578125,2010,2080.5360107421875,0.0
2010-04-30,48.32,374.0679931640625,2010,2454.60400390625,0.0
2010-05-31,67.28,117.93199920654297,2010,2572.536003112793,0.0
2010-06-30,85.52000000000001,39.125,2010,2611.661003112793,46.39500000000001
2010-07-31,97.92,0.5149999856948853,2010,2612.176003098488,143.8000000143051
2010-08-31,84.56,0.6499999761581421,2010,2612.826003074646,227.71000003814697
2010-09-30,70.48,26.941999435424805,2010,2639.768002510071,271.2480006027222
2010-10-31,39.2,221.11500549316406,2011,221.11500549316406,89.33299510955811
2010-11-30,33.92,217.75100708007812,2011,438.8660125732422,0.0
2010-12-31,23.52,693.2550048828125,2011,1132.1210174560547,0.0
